investigation: investigation+N+SG
encouragement: encouragement+N+SG
race: race+N+SG
ficial: ficial+N+SG
GOP: gop+N+SG
chairman: chairman+N+SG
meeting: meeting+N+SG
responses: respons+N+PL
audience: audience+N+SG
enthusiasm: enthusiasm+N+SG
rally: rally+N+SG
speaker: speaker+N+SG
governor: governor+N+SG
petitions: petition+N+PL
precincts: precinct+N+PL
signatures: signature+N+PL
vote: vote+N+SG
crowd: crowd+N+SG
dissents: dissent+N+PL
hurdle: hurdle+N+SG
courses: cours+N+PL
cent: cent+N+SG
county: county+N+SG
names: name+N+PL
candidates: candidate+N+PL
ballot: ballot+N+SG
unit: unit+N+SG
system: Invalid Word
party: party+N+SG
platform: platform+N+SG
relations: relation+N+PL
director: director+N+SG
campaign: campaign+N+SG
resignation: resignation+N+SG
time: time+N+SG
assistant: assistant+N+SG
years: year+N+PL
coordinator: coordinator+N+SG
session: session+N+SG
highway: highway+N+SG
bond: bond+N+SG
adjournment: adjournment+N+SG
afternoon: afternoon+N+SG
study: study+N+SG
areas: area+N+PL
adjustments: adjustment+N+PL
visit: visit+N+SG
chambers: chamber+N+PL
$100: $100+N+SG
issue: issue+N+SG
priority: priority+N+SG
item: item+N+SG
$30: $30+N+SG
worth: worth+N+SG
reconstruction: reconstruction+N+SG
bonds: bond+N+PL
courts: court+N+PL
test: test+N+SG
validity: validity+N+SG
act: act+N+SG
sales: sale+N+PL
contracts: contract+N+PL
repair: repair+N+SG
work: work+N+SG
highways: highway+N+PL
source: source+N+SG
road: road+N+SG
construction: construction+N+SG
department: department+N+SG
fund: fund+N+SG
ones: one+N+PL
tax: tax+N+SG
authorities: authority+N+PL
battle: battle+N+SG
issuance: issuance+N+SG
$50: $50+N+SG
roads: road+N+PL
plans: plan+N+PL
resolution: resolution+N+SG
action: action+N+SG
$10: $10+N+SG
day: day+N+SG
increase: increase+N+SG
expense: expense+N+SG
allowances: allowance+N+PL
research: research+N+SG
quickie: quickie+N+SG
notice: notice+N+SG
reconsideration: reconsideration+N+SG
details: detail+N+PL
privilege: privilege+N+SG
word: word+N+SG
amendment: amendment+N+SG
pay: pay+N+SG
raises: rais+N+PL
sessions: session+N+PL
legislator: legislator+N+SG
aid: aid+N+SG
education: education+N+SG
past: past+N+SG
support: support+N+SG
members: member+N+PL
delegation: delegation+N+SG
congressmen: congressmen+N+SG
hopper: hopper+N+SG
event: event+N+SG
teacher: teacher+N+SG
controversy: Invalid Word
school: Invalid Word
superintendent: superintendent+N+SG
policeman: policeman+N+SG
agriculture: agriculture+N+SG
principal: principal+N+SG
votes: vote+N+PL
pistol: pistol+N+SG
polls: poll+N+PL
order: order+N+SG
church: church+N+SG
drop: drop+N+SG
liquor: liquor+N+SG
bit: bit+N+SG
trouble: trouble+N+SG
midnight: midnight+N+SG
phone: phone+N+SG
calls: call+N+PL
threats: threat+N+PL
violence: violence+N+SG
death: death+N+SG
days: day+N+PL
post: post+N+SG
dispute: dispute+N+SG
board: board+N+SG
telephone: telephone+N+SG
permit: permit+N+SG
gun: gun+N+SG
ordinary: ordinary+N+SG
promise: promise+N+SG
sherif: Invalid Word
f: f+N+SG
Committee: committee+N+SG
approval: approval+N+SG
protests: protest+N+PL
bankers: banker+N+PL
fight: fight+N+SG
measure: measure+N+SG
rejection: rejection+N+SG
hearing: hearing+N+SG
rules: rule+N+PL
subcommittee: subcommittee+N+SG
week: week+N+SG
questions: question+N+PL
witnesses: witness+N+PL
doubt: doubt+N+SG
passage: passage+N+SG
estimate: estimate+N+SG
dollars: dollar+N+PL
deficit: deficit+N+SG
means: mean+N+PL
escheat: Invalid Word
books: book+N+PL
republic: republic+N+SG
bank: bank+N+SG
accounts: account+N+PL
stocks: stock+N+PL
persons: person+N+PL
bill: bill+N+SG
banks: bank+N+PL
insurance: insurance+N+SG
firms: firm+N+PL
pipeline: pipeline+N+SG
companies: company+N+PL
corporations: corporation+N+PL
treasurer: treasurer+N+SG
lawyer: lawyer+N+SG
opposition: opposition+N+SG
keynote: keynote+N+SG
obligations: obligation+N+PL
depositors: depositor+N+PL
confidence: confidence+N+SG
customers: customer+N+PL
economy: economy+N+SG
circulation: circulation+N+SG
millions: million+N+PL
sponsor: sponsor+N+SG
failure: failure+N+SG
gift: gift+N+SG
pockets: pocket+N+PL
contention: contention+N+SG
Senators: senator+N+PL
schools: Invalid Word
schooling: Invalid Word
students: student+N+PL
debate: debate+N+SG
population: population+N+SG
children: children+N+SG
budget: budget+N+SG
$451,500: $451,500+N+SG
savings: saving+N+PL
$157,460: $157,460+N+SG
capital: capital+N+SG
outlay: outlay+N+SG
$88,000: $88,000+N+SG
TEA: tea+N+SG
scholastics: Invalid Word
horse: horse+N+SG
parimutuels: parimutuel+N+PL
folks: folk+N+PL
letters: letter+N+PL
betting: betting+N+SG
people: people+N+SG
question: question+N+SG
advocacy: Invalid Word
ponies: pony+N+PL
option: option+N+SG
proposal: proposal+N+SG
report: report+N+SG
sledding: sledding+N+SG
house: house+N+SG
authority: authority+N+SG
cities: city+N+PL
senate: senate+N+SG
fare: fare+N+SG
bills: bill+N+PL
committees: committee+N+PL
calendar: calendar+N+SG
acts: act+N+PL
districts: district+N+PL
creation: creation+N+SG
dissent: dissent+N+SG
senators: senator+N+PL
district: district+N+SG
Money: money+N+SG
meantime: meantime+N+SG
gifts: gift+N+PL
donations: donation+N+PL
site: site+N+SG
revision: revision+N+SG
retailers: retailer+N+PL
group: group+N+SG
excise: Invalid Word
taxes: tax+N+PL
requirement: requirement+N+SG
return: return+N+SG
certificate: certificate+N+SG
correctness: correctness+N+SG
violation: violation+N+SG
penalty: penalty+N+SG
$1,000: $1,000+N+SG
fine: fine+N+SG
series: sery+N+PL
estate: estate+N+SG
brokers: broker+N+PL
fee: fee+N+SG
$12: $12+N+SG
license: license+N+SG
gas: ga+N+PL
utility: utility+N+SG
right: right+N+SG
domain: domain+N+SG
sites: site+N+PL
storage: storage+N+SG
reservoirs: reservoir+N+PL
vacancies: vacancy+N+PL
need: need+N+SG
elections: election+N+PL
appointee: appointee+N+SG
lieutenant: lieutenant+N+SG
general: general+N+SG
justice: justice+N+SG
State: state+N+SG
representatives: representative+N+PL
poll: poll+N+SG
kind: kind+N+SG
referendum: referendum+N+SG
senator: senator+N+SG
idea: idea+N+SG
delay: delay+N+SG
majorities: majority+N+PL
Opponents: opponent+N+PL
information: information+N+SG
proposals: proposal+N+PL
choice: choice+N+SG
water: water+N+SG
needs: need+N+PL
development: development+N+SG
fort: fort+N+SG
places: place+N+PL
hamlet: hamlet+N+SG
shouting: Invalid Word
$5,000,000: $5,000,000+N+SG
$15,000,000: $15,000,000+N+SG
loan: loan+N+SG
project: project+N+SG
Statements: statement+N+PL
attack: attack+N+SG
defenders: defender+N+PL
peanut: peanut+N+SG
methods: method+N+PL
history: history+N+SG
semester: semester+N+SG
hours: hour+N+PL
college: college+N+SG
high: high+N+SG
teachers: teacher+N+PL
subject: subject+N+SG
remainder: remainder+N+SG
subjects: subject+N+PL
person: person+N+SG
degree: degree+N+SG
physics: physic+N+PL
chemistry: chemistry+N+SG
math: math+N+SG
College: college+N+SG
regents: regent+N+PL
president: president+N+SG
close: close+N+SG
addition: addition+N+SG
captain: captain+N+SG
basketball: basketball+N+SG
team: team+N+SG
football: football+N+SG
letterman: letterman+N+SG
instructor: instructor+N+SG
professor: professor+N+SG
border: border+N+SG
patrolman: patrolman+N+SG
Principals: principal+N+PL
recommendation: recommendation+N+SG
discrimination: Invalid Word
employment: employment+N+SG
ribbon: ribbon+N+SG
ADC: adc+N+SG
firm: firm+N+SG
range: range+N+SG
case: case+N+SG
load: load+N+SG
causes: caus+N+PL
family: family+N+SG
breakdown: breakdown+N+SG
desertion: desertion+N+SG
dependency: Invalid Word
recipients: recipient+N+PL
problems: problem+N+PL
subsistence: subsistence+N+SG
volume: volume+N+SG
cases: cas+N+PL
community: community+N+SG
skills: skill+N+PL
color: color+N+SG
breakups: breakup+N+PL
Extension: extension+N+SG
relatives: relative+N+PL
parents: parent+N+PL
unity: unity+N+SG
Research: research+N+SG
projects: project+N+PL
prevention: prevention+N+SG
illegitimacy: Invalid Word
defendants: defendant+N+PL
police: police+N+SG
burglary: burglary+N+SG
trial: trial+N+SG
statements: statement+N+PL
guilt: guilt+N+SG
arrest: arrest+N+SG
disclosure: Invalid Word
defense: defense+N+SG
counsel: counsel+N+SG
observers: observer+N+PL
prelude: prelude+N+SG
quarrel: quarrel+N+SG
attorneys: attorney+N+PL
policemen: policemen+N+SG
client: client+N+SG
request: request+N+SG
courtroom: courtroom+N+SG
others: other+N+PL
bench: bench+N+SG
honor: honor+N+SG
conflict: conflict+N+SG
business: business+N+SG
attention: attention+N+SG
crisis: crisi+N+PL
address: address+N+SG
television: television+N+SG
radio: radio+N+SG
summer: summer+N+SG
home: home+N+SG
drafts: draft+N+PL
portions: portion+N+PL
help: help+N+SG
aids: aid+N+PL
midmorning: midmorning+N+SG
spokesman: spokesman+N+SG
text: text+N+SG
way: way+N+SG
completion: completion+N+SG
press: press+N+SG
secretary: secretary+N+SG
advisers: adviser+N+PL
staf: staf+N+SG
composition: composition+N+SG
minute: minute+N+SG
decisions: decision+N+PL
demands: demand+N+PL
prosecution: prosecution+N+SG
matter: matter+N+SG
significance: significance+N+SG
innocence: innocence+N+SG
rights: right+N+PL
ruling: ruling+N+SG
Contempt: contempt+N+SG
proceedings: proceeding+N+PL
prosecutor: prosecutor+N+SG
hearings: hearing+N+PL
subpenas: subpena+N+PL
individuals: individual+N+PL
building: building+N+SG
judges: judge+N+PL
precinct: precinct+N+SG
ward: ward+N+SG
procedure: procedure+N+SG
intimidation: intimidation+N+SG
coercion: coercion+N+SG
room: room+N+SG
misuse: misuse+N+SG
processes: process+N+PL
abuse: abuse+N+SG
process: process+N+SG
contempt: contempt+N+SG
vindication: vindication+N+SG
function: function+N+SG
judge: judge+N+SG
miscount: Invalid Word
advisement: advisement+N+SG
statement: statement+N+SG
care: care+N+SG
security: security+N+SG
workers: worker+N+PL
hospital: hospital+N+SG
railroad: railroad+N+SG
retirement: retirement+N+SG
programs: program+N+PL
message: message+N+SG
requests: request+N+PL
grants: grant+N+PL
scholarships: Invalid Word
health: health+N+SG
payroll: payroll+N+SG
$37: $37+N+SG
worker: worker+N+SG
employer: employer+N+SG
$4,800: $4,800+N+SG
base: base+N+SG
$5,000: $5,000+N+SG
boosts: boost+N+PL
levy: levy+N+SG
Of: of+N+SG
boost: boost+N+SG
benefits: benefit+N+PL
figures: figure+N+PL
parts: part+N+PL
systems: Invalid Word
payment: payment+N+SG
stays: stay+N+PL
illness: illness+N+SG
patient: patient+N+SG
discharge: Invalid Word
formula: formula+N+SG
part: part+N+SG
credit: credit+N+SG
Hospital: hospital+N+SG
outpatient: outpatient+N+SG
clinic: clinic+N+SG
diagnostic: diagnostic+N+SG
service: service+N+SG
excess: Invalid Word
$20: $20+N+SG
Community: community+N+SG
nurse: nurse+N+SG
states: state+N+PL
wish: Invalid Word
drain: drain+N+SG
stay: stay+N+SG
requirements: requirement+N+PL
malingering: malingering+N+SG
overcrowding: overcrowding+N+SG
hospitals: hospital+N+PL
medicine: medicine+N+SG
prepayment: prepayment+N+SG
freedom: freedom+N+SG
student: student+N+SG
dentistry: dentistry+N+SG
scholarship: Invalid Word
contributions: contribution+N+PL
$1,500: $1,500+N+SG
$2,000: $2,000+N+SG
government: government+N+SG
grant: grant+N+SG
capacity: capacity+N+SG
area: area+N+SG
dollar: dollar+N+SG
appropriation: appropriation+N+SG
sum: sum+N+SG
field: field+N+SG
bureau: bureau+N+SG
institute: institute+N+SG
rehabilitation: rehabilitation+N+SG
facilities: facility+N+PL
elements: element+N+PL
knowledge: knowledge+N+SG
reaction: reaction+N+SG
lines: line+N+PL
Legislators: legislator+N+PL
thing: thing+N+SG
prediction: prediction+N+SG
fate: fate+N+SG
pressure: pressure+N+SG
chief: chief+N+SG
floor: floor+N+SG
record: record+N+SG
ayes: aye+N+PL
noes: noe+N+PL
leader: leader+N+SG
administrator: administrator+N+SG
finance: finance+N+SG
agency: Invalid Word
appointments: appointment+N+PL
cabinet: cabinet+N+SG
rank: rank+N+SG
rule: rule+N+SG
hour: hour+N+SG
demand: demand+N+SG
connection: connection+N+SG
selections: selection+N+PL
element: element+N+SG
discussions: Invalid Word
understanding: understanding+N+SG
meetings: meeting+N+PL
organization: organization+N+SG
nature: nature+N+SG
route: route+N+SG
step: step+N+SG
changes: change+N+PL
ministers: minister+N+PL
climate: climate+N+SG
candor: candor+N+SG
attempt: attempt+N+SG
atmosphere: atmosphere+N+SG
colonialist: colonialist+N+SG
powers: power+N+PL
nightmare: nightmare+N+SG
clash: Invalid Word
dif: dif+N+SG
ficulties: ficulty+N+PL
tragedies: tragedy+N+PL
allies: ally+N+PL
circumstances: circumstance+N+PL
troubles: trouble+N+PL
absence: absence+N+SG
weeks: week+N+PL
NA: na+N+SG
TO: to+N+SG
critics: critic+N+PL
policy: Invalid Word
relaxation: relaxation+N+SG
tension: tension+N+SG
explanation: explanation+N+SG
positions: position+N+PL
explosion: explosion+N+SG
surprises: surpris+N+PL
NATO: nato+N+SG
advance: advance+N+SG
cars: car+N+PL
track: track+N+SG
locomotive: locomotive+N+SG
manifestations: manifestation+N+PL
arms: arm+N+PL
heart: heart+N+SG
alliance: alliance+N+SG
line: line+N+SG
side: side+N+SG
balance: balance+N+SG
sheet: Invalid Word
disappointment: disappointment+N+SG
leadership: Invalid Word
diplomat: diplomat+N+SG
tenor: tenor+N+SG
speeches: speech+N+PL
analysis: analysi+N+PL
danger: danger+N+SG
points: point+N+PL
setbacks: setback+N+PL
vagueness: vagueness+N+SG
appreciation: appreciation+N+SG
af: af+N+SG
fair: fair+N+SG
correspondents: correspondent+N+PL
impression: impression+N+SG
popularity: popularity+N+SG
frame: frame+N+SG
mind: mind+N+SG
scale: Invalid Word
application: application+N+SG
spots: spot+N+PL
speech: speech+N+SG
march: march+N+SG
events: event+N+PL
months: month+N+PL
core: core+N+SG
attachment: attachment+N+SG
cornerstone: cornerstone+N+SG
submarines: submarine+N+PL
TO's: to'+N+PL
disposal: disposal+N+SG
waters: water+N+PL
warning: warning+N+SG
setback: setback+N+SG
firmation: firmation+N+SG
whole: whole+N+SG
achievement: achievement+N+SG
rekindling: rekindling+N+SG
realization: realization+N+SG
friction: friction+N+SG
globe: globe+N+SG
essence: essence+N+SG
societies: society+N+PL
regard: regard+N+SG
distance: distance+N+SG
lack: lack+N+SG
spring: spring+N+SG
impetus: impetu+N+PL
main: main+N+SG
directions: direction+N+PL
consultation: consultation+N+SG
use: use+N+SG
method: method+N+SG
countries: country+N+PL
forces: force+N+PL
maintenance: maintenance+N+SG
deterrent: deterrent+N+SG
threshold: Invalid Word
strengthening: strengthening+N+SG
ally: ally+N+SG
conference: conference+N+SG
optimism: optimism+N+SG
table: table+N+SG
ground: ground+N+SG
inspection: inspection+N+SG
attacks: attack+N+PL
possibility: possibility+N+SG
inclination: inclination+N+SG
verification: verification+N+SG
control: control+N+SG
commission: commission+N+SG
modifications: modification+N+PL
chain: chain+N+SG
errors: error+N+PL
spokesmen: spokesmen+N+SG
reforms: reform+N+PL
confrontations: confrontation+N+PL
gain: gain+N+SG
world: world+N+SG
aggression: aggression+N+SG
tendency: Invalid Word
situation: situation+N+SG
power: power+N+SG
blunders: blunder+N+PL
correspondent: correspondent+N+SG
score: Invalid Word
reply: reply+N+SG
country: country+N+SG
politics: politic+N+PL
wisdom: wisdom+N+SG
outcome: outcome+N+SG
coalition: coalition+N+SG
domination: domination+N+SG
direction: direction+N+SG
educators: educator+N+PL
invasion: invasion+N+SG
exile: exile+N+SG
groups: group+N+PL
regime: regime+N+SG
bloc: bloc+N+SG
detente: detente+N+SG
resumption: resumption+N+SG
trade: trade+N+SG
forts: fort+N+PL
conditions: condition+N+PL
nationalism: nationalism+N+SG
intervention: intervention+N+SG
provocation: provocation+N+SG
fiasco: Invalid Word
victories: victory+N+PL
observer: observer+N+SG
opinions: opinion+N+PL
professors: professor+N+PL
channels: channel+N+PL
period: period+N+SG
pin: pin+N+SG
Policies: policy+N+PL
ban: ban+N+SG
negotiations: negotiation+N+PL
response: response+N+SG
emphasis: emphasi+N+PL
reform: reform+N+SG
recipient: recipient+N+SG
nations: nation+N+PL
efforts: effort+N+PL
determination: determination+N+SG
fleet: fleet+N+SG
gesture: gesture+N+SG
rate: rate+N+SG
territory: territory+N+SG
SEA: sea+N+SG
contingency: Invalid Word
losses: loss+N+PL
war: war+N+SG
complication: complication+N+SG
neighbors: neighbor+N+PL
favor: favor+N+SG
revolt: revolt+N+SG
neutralist: neutralist+N+SG
spirit: spirit+N+SG
energy: energy+N+SG
hilt: hilt+N+SG
ideas: idea+N+PL
alternative: alternative+N+SG
factor: factor+N+SG
removal: removal+N+SG
growth: growth+N+SG
delinquency: Invalid Word
vitality: vitality+N+SG
nation: nation+N+SG
assertion: assertion+N+SG
executive: executive+N+SG
cooperation: cooperation+N+SG
enactment: enactment+N+SG
crime: crime+N+SG
trend: trend+N+SG
communities: community+N+PL
sense: sense+N+SG
urgency: Invalid Word
arrests: arrest+N+PL
fenders: fender+N+PL
larceny: larceny+N+SG
setup: setup+N+SG
head: head+N+SG
responsibility: responsibility+N+SG
salary: salary+N+SG
opinion: opinion+N+SG
$3,500: $3,500+N+SG
amount: amount+N+SG
basis: basi+N+PL
residents: resident+N+PL
job: job+N+SG
men: men+N+SG
headquarters: headquarter+N+PL
advantage: advantage+N+SG
equipment: equipment+N+SG
procurement: procurement+N+SG
radios: radio+N+PL
sirens: siren+N+PL
rescue: Invalid Word
trucks: truck+N+PL
vehicle: vehicle+N+SG
section: section+N+SG
status: statu+N+PL
enemy: enemy+N+SG
grounds: ground+N+PL
assembly: assembly+N+SG
point: point+N+SG
theater: theater+N+SG
air: air+N+SG
public: public+N+SG
intervals: interval+N+PL
things: thing+N+PL
classes: class+N+PL
level: level+N+SG
revisions: revision+N+PL
move: move+N+SG
form: form+N+SG
letter: letter+N+SG
clerk: clerk+N+SG
copy: copy+N+SG
eye: eye+N+SG
legislature: legislature+N+SG
review: review+N+SG
benefit: benefit+N+SG
views: view+N+PL
labor: labor+N+SG
enforcement: enforcement+N+SG
ficers: ficer+N+PL
activity: activity+N+SG
statutes: statute+N+PL
instances: instance+N+PL
times: time+N+PL
types: type+N+PL
merchandise: merchandise+N+SG
concern: concern+N+SG
foods: food+N+PL
list: list+N+SG
neighborhood: neighborhood+N+SG
grocery: grocery+N+SG
variety: variety+N+SG
stores: store+N+PL
chance: chance+N+SG
supermarkets: supermarket+N+PL
shops: Invalid Word
livelihood: livelihood+N+SG
thousands: thousand+N+PL
licenses: licens+N+PL
revenue: revenue+N+SG
local: local+N+SG
factory: factory+N+SG
outlets: outlet+N+PL
essential: essential+N+SG
Liberals: liberal+N+PL
conservatives: conservative+N+PL
parties: party+N+PL
expert: expert+N+SG
luncheon: luncheon+N+SG
type: type+N+SG
enterprise: enterprise+N+SG
regrouping: regrouping+N+SG
voter: voter+N+SG
pull: pull+N+SG
lever: lever+N+SG
member: member+N+SG
machinist: machinist+N+SG
toolmaker: toolmaker+N+SG
fellow: fellow+N+SG
utilities: utility+N+PL
resources: resource+N+PL
victory: victory+N+SG
vice: vice+N+SG
product: product+N+SG
wage: wage+N+SG
increases: increas+N+PL
manufacturers: manufacturer+N+PL
profit: profit+N+SG
squeeze: squeeze+N+SG
back: back+N+SG
philosophy: philosophy+N+SG
counseling: counseling+N+SG
town: town+N+SG
charter: charter+N+SG
hand: hand+N+SG
suggestion: suggestion+N+SG
canvassers: canvasser+N+PL
scheduling: Invalid Word
ference: ference+N+SG
solicitor: solicitor+N+SG
justices: justice+N+PL
strategy: strategy+N+SG
movement: movement+N+SG
posts: post+N+PL
goal: goal+N+SG
awareness: awareness+N+SG
timetable: timetable+N+SG
league: league+N+SG
meaning: meaning+N+SG
pretenses: pretens+N+PL
signers: signer+N+PL
consent: consent+N+SG
provision: provision+N+SG
sewer: sewer+N+SG
Action: action+N+SG
ordinance: ordinance+N+SG
motorists: motorist+N+PL
minor: minor+N+SG
traf: traf+N+SG
fic: fic+N+SG
fenses: fens+N+PL
fines: fine+N+PL
station: station+N+SG
Council: council+N+SG
offenses: offens+N+PL
disposition: disposition+N+SG
fense: fense+N+SG
value: value+N+SG
remark: remark+N+SG
carcass: carcass+N+SG
cocktail: cocktail+N+SG
chorus: choru+N+PL
boos: boo+N+PL
women: women+N+SG
forum: forum+N+SG
intention: intention+N+SG
lifeblood: lifeblood+N+SG
remains: remain+N+PL
fall: fall+N+SG
decency: Invalid Word
adminstration: adminstration+N+SG
closeness: closeness+N+SG
issues: issue+N+PL
applause: applause+N+SG
merit: merit+N+SG
continuance: continuance+N+SG
passenger: passenger+N+SG
uses: us+N+PL
surplus: surplu+N+PL
industry: industry+N+SG
unemployment: unemployment+N+SG
blame: blame+N+SG
plant: plant+N+SG
income: income+N+SG
minutes: minute+N+PL
barbs: barb+N+PL
centralization: centralization+N+SG
transportation: transportation+N+SG
crises: cris+N+PL
ways: way+N+PL
motor: motor+N+SG
vehicles: vehicle+N+PL
reference: reference+N+SG
insult: insult+N+SG
symbol: Invalid Word
intentions: intention+N+PL
position: position+N+SG
life: life+N+SG
judgment: judgment+N+SG
taste: taste+N+SG
origin: origin+N+SG
desire: desire+N+SG
name: name+N+SG
stature: stature+N+SG
discredit: Invalid Word
opponents: opponent+N+PL
nomination: nomination+N+SG
leaders: leader+N+PL
managers: manager+N+PL
gathering: gathering+N+SG
nominee: nominee+N+SG
majority: majority+N+SG
announcement: announcement+N+SG
giveaway: giveaway+N+SG
image: image+N+SG
glow: glow+N+SG
candidacy: Invalid Word
committeewoman: committeewoman+N+SG
paper: paper+N+SG
ballots: ballot+N+PL
democracy: Invalid Word
lip: lip+N+SG
purchase: purchase+N+SG
machines: machine+N+PL
results: result+N+PL
safety: safety+N+SG
commissioner: commissioner+N+SG
FBI: fbi+N+SG
vacancy: Invalid Word
experience: experience+N+SG
description: Invalid Word
warden: warden+N+SG
citation: citation+N+SG
supervision: supervision+N+SG
reduction: reduction+N+SG
forest: forest+N+SG
fires: fire+N+PL
division: division+N+SG
graduation: graduation+N+SG
forestry: forestry+N+SG
lumber: lumber+N+SG
techniques: technique+N+PL
tractor: tractor+N+SG
plows: plow+N+PL
units: unit+N+PL
wardens: warden+N+PL
training: training+N+SG
debut: debut+N+SG
bid: bid+N+SG
pledge: pledge+N+SG
corner: corner+N+SG
feet: feet+N+SG
slogans: slogan+N+PL
mouth: mouth+N+SG
truth: truth+N+SG
signs: sign+N+PL
partner: partner+N+SG
attraction: attraction+N+SG
stop: stop+N+SG
piracy: Invalid Word
bloodstream: bloodstream+N+SG
hoodlums: hoodlum+N+PL
1940s: 1940+N+PL
good: good+N+SG
springboard: springboard+N+SG
tracts: tract+N+PL
land: land+N+SG
onrush: Invalid Word
$60: $60+N+SG
$45: $45+N+SG
$15: $15+N+SG
municipalities: municipality+N+PL
space: space+N+SG
stand: stand+N+SG
colleagues: colleague+N+PL
terms: term+N+PL
elephants: elephant+N+PL
ivory: ivory+N+SG
tusks: tusk+N+PL
retirements: retirement+N+PL
presentation: presentation+N+SG
1920s: 1920+N+PL
adoption: adoption+N+SG
suf: suf+N+SG
frage: frage+N+SG
Resentment: resentment+N+SG
mates: mate+N+PL
opportunity: opportunity+N+SG
resentment: resentment+N+SG
file: file+N+SG
view: view+N+SG
ticket: ticket+N+SG
weakness: weakness+N+SG
performance: performance+N+SG
slate: slate+N+SG
touch: touch+N+SG
discussion: Invalid Word
key: key+N+SG
acceptance: acceptance+N+SG
choices: choice+N+PL
struggle: struggle+N+SG
talks: talk+N+PL
assent: assent+N+SG
successor: successor+N+SG
interviews: interview+N+PL
reporters: reporter+N+PL
wave: wave+N+SG
corruption: corruption+N+SG
feeling: feeling+N+SG
revulsion: revulsion+N+SG
taxi: taxi+N+SG
driver: driver+N+SG
visitor: visitor+N+SG
politicians: politician+N+PL
scientist: Invalid Word
conspiracy: Invalid Word
object: object+N+SG
Corruption: corruption+N+SG
locale: locale+N+SG
novel: novel+N+SG
reasons: reason+N+PL
spotlight: spotlight+N+SG
succession: succession+N+SG
scandals: Invalid Word
Graft: graft+N+SG
works: work+N+PL
investigations: investigation+N+PL
reader: reader+N+SG
newspapers: newspaper+N+PL
chicanery: chicanery+N+SG
norm: norm+N+SG
Day: day+N+SG
episode: episode+N+SG
$8,555: $8,555+N+SG
beach: beach+N+SG
waterfront: waterfront+N+SG
forecasts: forecast+N+PL
$6,100,000,000: $6,100,000,000+N+SG
mortgages: mortgage+N+PL
families: family+N+PL
slums: slum+N+PL
colleges: college+N+PL
